metric,filter,contrast,n,pearson_r,sign_agreement,median_abs_change,median_rel_change
median_span,llas,NREM.BSL.Decline,28,0.8006565951082881,0.8214285714285714,-20.0,-0.3333333333333333
median_span,llas,NREM.REC.Decline,28,0.4480048542441077,0.8928571428571429,-20.0,-0.2727272727272727
median_span,llas,NREM.Rebound,28,0.58135906497617,0.9285714285714286,-40.0,-0.3333333333333333
median_span,llas,NREM.Surge,28,0.5044601290003766,0.6785714285714286,-20.0,-0.29166666666666663
total_area_norm,clas,NOD.Incline,15,0.8879559408732514,0.9333333333333333,0.0008064516129032256,0.1291430335301155
total_area_norm,clas,NREM.BSL.Decline,28,0.8840610529611549,0.9642857142857143,-0.022064923992559216,-0.05727807640965949
total_area_norm,clas,NREM.REC.Decline,28,0.5409175910807398,0.9642857142857143,-0.09273715529388116,-0.17587560138050004
total_area_norm,clas,NREM.Rebound,28,0.612288385250698,1.0,-0.09825919670706035,-0.12898333715663493
total_area_norm,clas,NREM.Surge,28,0.7932195214143051,0.9285714285714286,-0.02818988813474088,-0.1172898419080122
rate,clas,NOD.Incline,15,0.7908397095019535,0.9333333333333333,0.001388888888888891,0.16414141414141403
rate,clas,NREM.BSL.Decline,28,0.5623826671670724,0.8571428571428571,0.028773071856458665,0.2629740111367983
rate,clas,NREM.REC.Decline,28,0.828409692064283,0.9285714285714286,0.020138888888888817,0.08195042220478013
rate,clas,NREM.Rebound,28,0.4689574004656367,0.6071428571428571,0.05082668782903488,0.3368775678385715
rate,clas,NREM.Surge,28,0.7900788980139155,0.7857142857142857,0.017916666666666747,0.2264695888549108
median_median_duration,clas,NOD.Incline,15,0.22944688979054736,0.6,-6.938893903907228e-18,-1.1564823173178703e-15
median_median_duration,clas,NREM.BSL.Decline,28,0.8757668981427422,0.9642857142857143,0.0,-5.782411586589352e-16
median_median_duration,clas,NREM.REC.Decline,28,0.43095861914932687,0.8214285714285714,-0.0010000000000000009,-0.16666666666666685
median_median_duration,clas,NREM.Rebound,28,0.6870038495312837,1.0,-0.0015000000000000013,-0.11250000000000007
median_median_duration,clas,NREM.Surge,28,0.8221510683978318,0.8928571428571429,-0.0010000000000000009,-0.13392857142856998
median_area,clas,NOD.Incline,15,0.34861837172387106,0.9333333333333333,-16.5,-0.13983050847457626
median_area,clas,NREM.BSL.Decline,28,0.9762104919768702,0.9642857142857143,-33.0,-0.11586053204365646
median_area,clas,NREM.REC.Decline,28,0.8111147684328351,0.9642857142857143,-32.5,-0.2178337674480732
median_area,clas,NREM.Rebound,28,0.9267873747600571,1.0,-52.75,-0.15090105331879017
median_area,clas,NREM.Surge,28,0.9039567833762983,0.9285714285714286,-19.5,-0.12545023608233954
median_span,clas,NOD.Incline,15,0.3617447509681508,0.8,-20.0,-0.3333333333333333
median_span,clas,NREM.BSL.Decline,28,0.9163245263281358,0.8928571428571429,0.0,0.0
median_span,clas,NREM.REC.Decline,28,0.8362962596617967,0.7857142857142857,0.0,0.0
median_span,clas,NREM.Rebound,28,0.9433468869445552,0.9642857142857143,0.0,0.0
median_span,clas,NREM.Surge,28,0.8928879132452799,0.6785714285714286,0.0,0.0
total_area_norm,blas,NOD.Incline,7,0.9599578117618552,1.0,0.0005600775193798455,0.2321583749728438
total_area_norm,blas,NREM.BSL.Decline,27,0.8844858742635903,0.9629629629629629,-0.1695993082224576,-0.1670068879609262
total_area_norm,blas,NREM.REC.Decline,27,0.46229391834020045,0.9629629629629629,-0.14822794117647065,-0.25887302504737997
total_area_norm,blas,NREM.Rebound,27,0.6848931722247217,1.0,-0.1469925752754615,-0.17269486538813875
total_area_norm,blas,NREM.Surge,27,0.8128178252666075,0.9629629629629629,-0.04534294871794842,-0.11616778570491035
rate,blas,NOD.Incline,7,0.9580973274278107,1.0,0.0005555555555555557,0.22222222222222227
rate,blas,NREM.BSL.Decline,27,0.8468021899422132,1.0,-0.027548538789237575,-0.12027616581287487
rate,blas,NREM.REC.Decline,27,0.7090666803329189,0.9629629629629629,-0.020277777777777728,-0.2112211221122098
rate,blas,NREM.Rebound,27,0.7410494376586907,1.0,-0.03192685817405494,-0.1484106419382384
rate,blas,NREM.Surge,27,0.8071574570566692,0.8518518518518519,0.007500000000000062,0.21717171717171682
median_median_duration,blas,NOD.Incline,7,0.8472716658095529,0.8571428571428571,-0.0059999999999999915,-0.882352941176472
median_median_duration,blas,NREM.BSL.Decline,27,0.8749353620410106,0.8518518518518519,0.001999999999999988,0.2000000000000003
median_median_duration,blas,NREM.REC.Decline,27,0.8336150652539499,0.8148148148148148,0.000999999999999987,0.19999999999999724
median_median_duration,blas,NREM.Rebound,27,0.6640285412175246,1.0,0.0,0.0
median_median_duration,blas,NREM.Surge,27,0.8922408578112155,0.9259259259259259,-0.0020000000000000018,-0.26785714285714357
median_area,blas,NOD.Incline,7,0.6957302202820715,0.8571428571428571,-122.5,-0.16689373297002724
median_area,blas,NREM.BSL.Decline,27,0.9065941125958419,0.8148148148148148,44.0,0.25841816758026626
median_area,blas,NREM.REC.Decline,27,0.8806154230605514,0.9259259259259259,19.0,0.13917525773195877
median_area,blas,NREM.Rebound,27,0.8826180511038032,1.0,38.0,0.12357723577235773
median_area,blas,NREM.Surge,27,0.9438382626242332,0.9259259259259259,-22.5,-0.1927710843373494
median_span,blas,NOD.Incline,7,0.22794742978498422,0.7142857142857143,0.0,-0.625
median_span,blas,NREM.BSL.Decline,27,,0.9259259259259259,0.0,
median_span,blas,NREM.REC.Decline,27,,0.9259259259259259,0.0,
median_span,blas,NREM.Rebound,27,0.03846153846153848,0.9259259259259259,0.0,1.0
median_span,blas,NREM.Surge,27,0.03846153846153847,0.9259259259259259,0.0,1.0
