subject,probe,structure,threshold_s,early_area_norm,late_area_norm,incline_norm,incline_ratio,n_intrusions_le_thr,nod_intrusion_off_area
CNPIX2-Segundo,imec0,PPC,0,0.008448809523809525,0.020718650793650796,0.012269841269841271,2.452256822131417,0,0.0
CNPIX2-Segundo,imec0,PPC,1,0.008448809523809525,0.020718650793650796,0.012269841269841271,2.452256822131417,0,0.0
CNPIX2-Segundo,imec0,PPC,2,0.008448809523809525,0.020718650793650796,0.012269841269841271,2.452256822131417,1,4.201428571428572
CNPIX2-Segundo,imec0,PPC,3,0.008448809523809525,0.020718650793650796,0.012269841269841271,2.452256822131417,8,46.19428571428572
CNPIX2-Segundo,imec0,PPC,4,0.008448809523809525,0.020718650793650796,0.012269841269841271,2.452256822131417,9,53.212857142857146
CNPIX2-Segundo,imec0,PPC,5,0.008448809523809525,0.020718650793650796,0.012269841269841271,2.452256822131417,12,84.01428571428572
CNPIX2-Segundo,imec0,PPC,6,0.008448809523809525,0.026223015873015877,0.017774206349206352,3.1037527593818983,15,116.4257142857143
CNPIX2-Segundo,imec0,PPC,7,0.008448809523809525,0.029469047619047624,0.0210202380952381,3.487952656051853,16,128.11142857142858
CNPIX2-Segundo,imec0,PPC,8,0.008448809523809525,0.0347,0.026251190476190477,4.107087501761307,18,173.01714285714286
CNPIX2-Segundo,imec0,PPC,9,0.008448809523809525,0.0347,0.026251190476190477,4.107087501761307,20,223.61
CNPIX2-Segundo,imec0,PPC,10,0.008448809523809525,0.0347,0.026251190476190477,4.107087501761307,20,223.61
CNPIX4-Doppio,imec1,M2,0,0.01909985935302391,0.05855502812939521,0.0394551687763713,3.0657308541973487,0,0.0
CNPIX4-Doppio,imec1,M2,1,0.01909985935302391,0.05855502812939521,0.0394551687763713,3.0657308541973487,0,0.0
CNPIX4-Doppio,imec1,M2,2,0.01909985935302391,0.05855502812939521,0.0394551687763713,3.0657308541973487,1,6.0329113924050635
CNPIX4-Doppio,imec1,M2,3,0.01909985935302391,0.06299560478199719,0.043895745428973273,3.2982234904270986,9,63.7253164556962
