condition,model,partition,pooled_std_beta,ci_lo,ci_hi,p,i_squared,k
NREM,marginal,Medium + Large,0.7321940760677434,0.7007828476636344,0.7636053044718525,0.0,93.6127252976427,29
NREM,marginal,Small OFFs,-0.2877849022229476,-0.3762492308573824,-0.19932057358851282,1.8164092452366276e-10,98.51411842236509,29
NREM,semipartial,Medium + Large,0.665800142566206,0.6377218206578158,0.6938784644745962,0.0,94.59881638681242,29
NREM,semipartial,Small OFFs,-0.14968107654677984,-0.19272080596645844,-0.10664134712710124,9.336753592492641e-12,97.79996127316518,29
Wake,marginal,Medium + Large,0.29690607446926065,0.2475368232336919,0.34627532570482944,0.0,95.17598160393383,28
Wake,marginal,Small OFFs,0.32645979460628016,0.28087834183742877,0.37204124737513156,0.0,95.68666476065583,29
Wake,semipartial,Medium + Large,0.17270494039703477,0.13537991467280563,0.2100299661212639,0.0,94.27894430060462,28
Wake,semipartial,Small OFFs,0.21719320383031596,0.1771036770401067,0.2572827306205252,0.0,95.84260838112752,29
