property,target,pooled_rho,ci_lo,ci_hi,p_value,i_squared,q_pvalue,k
duration,raw degree,0.3420118322955834,0.3100158672149352,0.3732339518181594,0.0,99.89422757346392,0.0,21
duration,excess,0.03570284863549559,-0.009071028298361919,0.08033385322421134,0.11804392009412346,99.93240607538398,0.0,21
span,raw degree,0.2967209549137901,0.264266953088059,0.3285037378267496,0.0,99.89073867956084,0.0,21
span,excess,0.06985592164799,0.028667818619083674,0.1108072162632421,0.0008967291285015833,99.92047792342039,0.0,21
area,raw degree,0.34064381629227514,0.3078058176105687,0.372671235434955,0.0,99.89932319556172,0.0,21
area,excess,0.06235927436434725,0.01733573827096499,0.10713042690576408,0.006659226753730874,99.93334262508017,0.0,21
